,NAME,PENN_DOT_MUNI_ID,state,county,county_subdivision,POPULATION,LAND_AREA,BIKE_TO_WORK_EST,BIKE_TO_WORK_MARG,WALK_TO_WORK_EST,WALK_TO_WORK_MARG,DRIVE_SOLO_TO_WORK_EST,DRIVE_SOLO_TO_WORK_MARG,CARPOOL_TO_WORK_EST,CARPOOL_TO_WORK_MARG,PUBTRANS_TO_WORK_EST,PUBTRANS_TO_WORK_MARG,MUNI_NAME,COUNTY_NAME,PENN_DOT_COUNTY_NUM,PENN_DOT_COUNTY_NAME,PENN_DOT_MUNI_NAME,MUNICIPALITY_NAME,LAND_AREA,FEDERAL_EIN_CODE,HOME_RULE_CODE,HOME_RULE_NAME,HOME_RULE_YEAR,GOVERNMENTAL_FORM,EMPLOYEES_FULL_TIME,EMPLOYEES_PART_TIME,INCORPORATION_YEAR,MUNICIPALITY,AUTOMOBILE_COUNT,BICYCLE_BY_AUTO_COUNT,BICYCLE_DEATH_BY_AUTO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,PED_BY_AUTO_COUNT,PED_DEATH_BY_AUTO_COUNT,PED_SUSP_SERIOUS_INJ_BY_AUTO_COUNT,BICYCLE_SOLO_COUNT,BICYCLE_DEATH_SOLO_COUNT,BICYCLE_SUSP_SERIOUS_INJ_SOLO_COUNT,PED_SOLO_COUNT,PED_DEATH_SOLO_COUNT,PED_SUSP_SERIOUS_INJ_SOLO_COUNT
0,"Philadelphia city, Philadelphia County",67301,42,101,60000,1596865,134.1,14172,940,54269,2031,343702,5207,55482,3121,152058,4179,PHILADELPHIA CITY,PHILADELPHIA COUNTY,67,PHILADELPHIA COUNTY,PHILADELPHIA CITY,PHILADELPHIA CITY,134.1,236003047.0,Home Rule,PHILADELPHIA CITY,1952.0,,22325.0,1037.0,,67301.0,3202.0,582.0,8.0,31.0,2608.0,82.0,214.0,505.0,10.0,24.0,2655.0,83.0,227.0
1,"Pittsburgh city, Allegheny County",2301,42,3,61000,303207,55.4,1920,290,15005,1033,80593,2054,10191,814,23357,1252,PITTSBURGH CITY,ALLEGHENY COUNTY,2,ALLEGHENY COUNTY,PITTSBURGH CITY,PITTSBURGH CITY,55.4,256000879.0,Home Rule,CITY OF PITTSBURGH,1976.0,,3098.0,149.0,1816.0,2301.0,616.0,83.0,1.0,4.0,539.0,6.0,75.0,54.0,1.0,8.0,332.0,16.0,43.0
2,"State College borough, Centre County",14410,42,27,73808,40352,4.6,729,297,3963,402,6711,800,484,166,1813,392,STATE COLLEGE BOROUGH,CENTRE COUNTY,14,CENTRE COUNTY,STATE COLLEGE BOROUGH,STATE COLLEGE BOROUGH,4.6,246000660.0,Home Rule,BOROUGH OF STATE COLLEGE,1976.0,,166.0,23.0,1896.0,14410.0,61.0,14.0,0.0,2.0,47.0,0.0,3.0,12.0,0.0,3.0,42.0,0.0,3.0
3,"Erie city, Erie County",25302,42,49,24000,95536,19.1,329,191,2003,392,28933,1152,5476,668,1482,312,ERIE CITY,ERIE COUNTY,25,ERIE COUNTY,ERIE CITY,ERIE CITY,19.1,256000857.0,Opional 3rd Class City Charter,CITY OF ERIE,1962.0,Mayor/Council,659.0,78.0,1851.0,25302.0,146.0,46.0,1.0,5.0,100.0,3.0,10.0,52.0,0.0,1.0,94.0,5.0,12.0
4,"Ferguson township, Centre County",14206,42,27,25624,19236,47.7,259,116,335,142,6363,680,1169,336,591,211,FERGUSON TOWNSHIP,CENTRE COUNTY,14,CENTRE COUNTY,FERGUSON TOWNSHIP,FERGUSON TOWNSHIP,47.7,251197270.0,Home Rule,TOWNSHIP OF FERGUSON,1976.0,,65.0,9.0,1801.0,14206.0,11.0,5.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0
5,"Carlisle borough, Cumberland County",21402,42,41,11272,19869,5.5,235,104,1052,222,6598,481,547,183,42,37,CARLISLE BOROUGH,CUMBERLAND COUNTY,21,CUMBERLAND COUNTY,CARLISLE BOROUGH,CARLISLE BOROUGH,5.5,236002842.0,,,,,109.0,19.0,1782.0,21402.0,42.0,18.0,0.0,4.0,24.0,0.0,3.0,12.0,0.0,2.0,25.0,1.0,3.0
6,"Ephrata township, Lancaster County",36218,42,71,23840,10375,16.2,225,148,192,152,3579,400,932,710,1,2,EPHRATA TOWNSHIP,LANCASTER COUNTY,36,LANCASTER COUNTY,EPHRATA TOWNSHIP,EPHRATA TOWNSHIP,16.2,236000326.0,,,,,6.0,26.0,1838.0,36218.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0
7,"West Earl township, Lancaster County",36238,42,71,82824,8478,17.8,210,145,0,16,2966,400,505,204,17,29,WEST EARL TOWNSHIP,LANCASTER COUNTY,36,LANCASTER COUNTY,WEST EARL TOWNSHIP,WEST EARL TOWNSHIP,17.8,236000575.0,,,,,22.0,7.0,1833.0,36238.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
8,"Lancaster city, Lancaster County",36301,42,71,41216,58034,7.2,198,114,3107,512,18046,940,3726,509,1288,368,LANCASTER CITY,LANCASTER COUNTY,36,LANCASTER COUNTY,LANCASTER CITY,LANCASTER CITY,7.2,236001904.0,Opional 3rd Class City Charter,CITY OF LANCASTER,1966.0,,548.0,17.0,1818.0,36301.0,193.0,32.0,0.0,4.0,160.0,0.0,16.0,17.0,0.0,1.0,87.0,1.0,12.0
9,"Earl township, Lancaster County",36209,42,71,20688,7133,22.0,178,129,84,66,1682,359,868,306,0,16,EARL TOWNSHIP,LANCASTER COUNTY,36,LANCASTER COUNTY,EARL TOWNSHIP,EARL TOWNSHIP,22.0,236000302.0,,,,,9.0,14.0,1729.0,36209.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
